longitude,latitude,M13_log
55.00042,-33.549488,-0.6533651609996125
55.096626,-33.568516,-0.6533651609996125
55.389984,-33.62601,-0.6410066631603596
55.50298,-33.64793,-0.6533651609996125
55.604626,-33.667564,-0.6533651609996125
55.94332,-33.73225,-0.6533651609996125
56.18607,-33.777958,-0.6502611884010344
56.19567,-33.779755,-0.6502611884010344
56.20527,-33.781548,-0.6502611884010344
56.22445,-33.785133,-0.6533651609996125
56.28181,-33.79583,-0.6533651609996125
56.291336,-33.797604,-0.6471668206428753
56.30087,-33.799377,-0.6533651609996125
56.31039,-33.801144,-0.6533651609996125
56.3199,-33.802914,-0.6533651609996125
56.32941,-33.804688,-0.6471668206428753
56.33891,-33.806446,-0.6502611884010344
56.348396,-33.80821,-0.6533651609996125
56.357883,-33.80997,-0.6502611884010344
56.36736,-33.81173,-0.6533651609996125
56.376827,-33.81349,-0.6502611884010344
56.386295,-33.815235,-0.6502611884010344
56.395752,-33.816982,-0.6533651609996125
56.405193,-33.81874,-0.6502611884010344
56.414635,-33.82049,-0.6502611884010344
56.43349,-33.823967,-0.6533651609996125
56.442913,-33.825718,-0.6471668206428753
56.45233,-33.827457,-0.6471668206428753
56.461735,-33.829193,-0.6471668206428753
56.47114,-33.83092,-0.6471668206428753
56.480522,-33.832664,-0.6533651609996125
56.489918,-33.83439,-0.6471668206428753
56.499294,-33.83612,-0.6502611884010344
56.508667,-33.83784,-0.6502611884010344
56.518024,-33.839573,-0.6471668206428753
56.527386,-33.841293,-0.6471668206428753
56.53674,-33.843006,-0.6502611884010344
56.58342,-33.851574,-0.6533651609996125
56.639206,-33.86179,-0.6533651609996125
56.648476,-33.863487,-0.6533651609996125
56.685528,-33.870262,-0.6533651609996125
56.694775,-33.871944,-0.6502611884010344
56.704018,-33.87363,-0.6502611884010344
56.71326,-33.875305,-0.6502611884010344
56.72249,-33.876995,-0.6502611884010344
56.73171,-33.87867,-0.6533651609996125
56.740917,-33.880352,-0.6502611884010344
56.750134,-33.88202,-0.6471668206428753
56.83275,-33.897007,-0.6379407565523733
56.841896,-33.898678,-0.6318369994044779
56.851044,-33.900322,-0.6348842210042397
56.860176,-33.901978,-0.6318369994044779
56.86933,-33.90363,-0.6348842210042397
56.87846,-33.905273,-0.6318369994044779
56.887573,-33.906925,-0.6348842210042397
56.896687,-33.908577,-0.6318369994044779
56.905807,-33.910213,-0.6348842210042397
56.91491,-33.911865,-0.6318369994044779
56.92401,-33.913506,-0.6410066631603596
56.942196,-33.91677,-0.6348842210042397
56.95129,-33.91841,-0.6502611884010344
56.960354,-33.92005,-0.6379407565523733
56.969437,-33.921677,-0.6471668206428753
56.987568,-33.924942,-0.6533651609996125
56.996628,-33.926563,-0.6502611884010344
57.005684,-33.928185,-0.6287990351621162
57.01473,-33.929813,-0.6471668206428753
57.086937,-33.94274,-0.6410066631603596
57.095943,-33.94434,-0.6410066631603596
57.194645,-33.961918,-0.6471668206428753
57.203587,-33.96352,-0.6533651609996125
57.27497,-33.97617,-0.6533651609996125
57.408073,-33.999622,-0.6502611884010344
57.434547,-34.004284,-0.6348842210042397
57.443375,-34.005817,-0.6379407565523733
57.46982,-34.01046,-0.6410066631603596
57.478638,-34.012,-0.6318369994044779
57.487427,-34.01354,-0.6287990351621162
57.496246,-34.01508,-0.6318369994044779
