longitude,latitude,M13_log,threshold,granule_key,source_vnp02,source_vnp03,geometry,Dzongkhag,cluster
91.32366180419922,27.1007080078125,-0.06442966364942863,-0.06506505797184808,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (91.32366180419922 27.1007080078125),Monggar,0
91.21914672851562,27.205669403076172,-0.02717939456867026,-0.06506505797184808,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (91.21914672851562 27.205669403076172),Monggar,0
91.48799133300781,27.30552101135254,-0.04225081431875465,-0.06506505797184808,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (91.48799133300781 27.30552101135254),Monggar,0
91.22357940673828,27.1731014251709,-0.11575309814164406,-0.5718731019871588,2023098.1954,VNP02MOD.A2023098.1954.002.2023099051627.nc,VNP03MOD.A2023098.1954.002.2023099043236.nc,POINT (91.22357940673828 27.1731014251709),Monggar,0
91.2100830078125,27.16798210144043,-0.5641975835990535,-0.5718731019871588,2023098.1954,VNP02MOD.A2023098.1954.002.2023099051627.nc,VNP03MOD.A2023098.1954.002.2023099043236.nc,POINT (91.2100830078125 27.16798210144043),Monggar,0
91.226318359375,27.171798706054688,-0.12854641723017685,-0.5718731019871588,2023098.1954,VNP02MOD.A2023098.1954.002.2023099051627.nc,VNP03MOD.A2023098.1954.002.2023099043236.nc,POINT (91.226318359375 27.171798706054688),Monggar,0
91.23896026611328,27.174089431762695,0.9221320521569953,0.8994617683040474,2023099.0712,VNP02MOD.A2023099.0712.002.2023099142823.nc,VNP03MOD.A2023099.0712.002.2023099141050.nc,POINT (91.23896026611328 27.174089431762695),Monggar,0
91.21261596679688,27.17048454284668,1.4739988226787102,0.8994617683040474,2023099.0712,VNP02MOD.A2023099.0712.002.2023099142823.nc,VNP03MOD.A2023099.0712.002.2023099141050.nc,POINT (91.21261596679688 27.17048454284668),Monggar,0
91.23766326904297,27.18092155456543,1.2600425963366626,0.8994617683040474,2023099.0712,VNP02MOD.A2023099.0712.002.2023099142823.nc,VNP03MOD.A2023099.0712.002.2023099141050.nc,POINT (91.23766326904297 27.18092155456543),Monggar,0
91.22911834716797,27.179746627807617,2.284832715594625,0.8994617683040474,2023099.0712,VNP02MOD.A2023099.0712.002.2023099142823.nc,VNP03MOD.A2023099.0712.002.2023099141050.nc,POINT (91.22911834716797 27.179746627807617),Monggar,0
91.23030853271484,27.1667537689209,-0.2413599095383949,-0.2808635355638259,2023099.1936,VNP02MOD.A2023099.1936.002.2023100022902.nc,VNP03MOD.A2023099.1936.002.2023100021212.nc,POINT (91.23030853271484 27.1667537689209),Monggar,0
91.2291259765625,27.160127639770508,0.3203115618427093,-0.2808635355638259,2023099.1936,VNP02MOD.A2023099.1936.002.2023100022902.nc,VNP03MOD.A2023099.1936.002.2023100021212.nc,POINT (91.2291259765625 27.160127639770508),Monggar,0
91.26805114746094,27.15412712097168,-0.22704965472881317,-0.2808635355638259,2023099.1936,VNP02MOD.A2023099.1936.002.2023100022902.nc,VNP03MOD.A2023099.1936.002.2023100021212.nc,POINT (91.26805114746094 27.15412712097168),Monggar,0
