longitude,latitude,M13_log,threshold,granule_key,source_vnp02,source_vnp03,geometry,Dzongkhag,cluster
91.40946197509766,26.976652145385742,0.2647865327233051,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (91.40946197509766 26.976652145385742),Pema Gatshel,0
91.41106414794922,26.976472854614258,0.13508985169562912,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (91.41106414794922 26.976472854614258),Pema Gatshel,0
89.44599151611328,26.835163116455078,0.09177229022936512,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.44599151611328 26.835163116455078),Chhukha,0
89.20637512207031,26.814144134521484,0.0754069698526271,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.20637512207031 26.814144134521484),Samtse,0
89.16281127929688,26.816661834716797,0.07690584286596196,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.16281127929688 26.816661834716797),Samtse,0
89.37945556640625,26.862838745117188,0.11510825587111598,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.37945556640625 26.862838745117188),Chhukha,0
89.10579681396484,26.862110137939453,0.12229046063493486,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.10579681396484 26.862110137939453),Samtse,0
90.0398941040039,27.27529525756836,0.09912344779702595,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (90.0398941040039 27.27529525756836),Tsirang,0
89.55963134765625,27.327945709228516,0.11222086791349423,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.55963134765625 27.327945709228516),Thimphu,0
89.54712677001953,27.326520919799805,0.1064209599630848,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.54712677001953 27.326520919799805),Thimphu,0
89.53665924072266,27.325321197509766,0.1793162282860527,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.53665924072266 27.325321197509766),Paro,0
89.53438568115234,27.333093643188477,0.13084156475157124,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.53438568115234 27.333093643188477),Paro,0
89.49089050292969,27.328081130981445,0.08733551609286799,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.49089050292969 27.328081130981445),Paro,0
89.53166961669922,27.340801239013672,0.13084156475157124,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.53166961669922 27.340801239013672),Paro,0
89.47838592529297,27.33465003967285,0.08138902914422369,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.47838592529297 27.33465003967285),Paro,0
89.43729400634766,27.38580894470215,0.0932468512611151,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.43729400634766 27.38580894470215),Paro,0
89.60445404052734,27.41370391845703,0.08287896923194026,0.07327893748415276,2023098.0730,VNP02MOD.A2023098.0730.002.2023098160312.nc,VNP03MOD.A2023098.0730.002.2023098152816.nc,POINT (89.60445404052734 27.41370391845703),Thimphu,0
